ID	TrackID	Merge_Flag	Time	Txn_Time	Merge_Time	RelTime_Txn	RelTime_Fus	NumNanogClust	NumNanogClustOvlpDNA	Nanog_Volume	DNA_Volume	RNA_Volume	Overlap_Volume	PearsonCoeff	PearsonCoeff_scramble
11.01_1k_6_5_1	1000000002	1	6	20	17	-14	-11	0	NA	0	0	0	NA	NaN	NaN
11.01_1k_6_5_1	1000000002	1	7	20	17	-13	-10	0	NA	0	0	0	NA	NaN	NaN
11.01_1k_6_5_1	1000000002	1	8	20	17	-12	-9	0	NA	0	0	0	NA	NaN	NaN
11.01_1k_6_5_1	1000000002	1	9	20	17	-11	-8	0	NA	0	0	0	NA	NaN	NaN
11.01_1k_6_5_1	1000000002	1	10	20	17	-10	-7	1	NA	19	0	0	NA	NaN	NaN
11.01_1k_6_5_1	1000000002	1	11	20	17	-9	-6	1	1	40	57	0	17	1.379848e-02	-3.777615e-02
11.01_1k_6_5_1	1000000002	1	12	20	17	-8	-5	1	1	31	72	0	12	1.055199e-02	-1.335922e-01
11.01_1k_6_5_1	1000000002	1	13	20	17	-7	-4	2	1	45	18	0	8	2.795888e-01	4.178886e-01
11.01_1k_6_5_1	1000000002	1	14	20	17	-6	-3	1	1	80	39	0	17	-8.132675e-02	1.090447e-02
11.01_1k_6_5_1	1000000002	1	15	20	17	-5	-2	1	1	85	24	0	16	2.304940e-01	2.742654e-01
11.01_1k_6_5_1	1000000002	1	16	20	17	-4	-1	2	2	87	62	0	18	1.496078e-01	-1.939913e-01
11.01_1k_6_5_1	1000000002	1	17	20	17	-3	0	1	1	93	43	0	21	2.868203e-01	-1.058427e-01
11.01_1k_6_5_1	1000000002	1	18	20	17	-2	1	1	1	92	37	0	18	4.163905e-02	-5.741420e-02
11.01_1k_6_5_1	1000000002	1	19	20	17	-1	2	1	1	90	95	0	28	9.998494e-02	4.780445e-02
11.01_1k_6_5_1	1000000002	1	20	20	17	0	3	1	1	63	103	3	32	1.702314e-01	9.296790e-02
12.01_1k_9_1_1	1000000001	0	1	20	NA	-19	NA	1	1	5	135	0	5	4.634350e-01	-1.363122e-02
12.01_1k_9_1_1	1000000001	0	2	20	NA	-18	NA	1	1	5	114	0	5	2.793366e-01	-1.041008e-01
12.01_1k_9_1_1	1000000001	0	3	20	NA	-17	NA	1	1	20	103	0	19	3.164748e-01	1.428641e-01
12.01_1k_9_1_1	1000000001	0	4	20	NA	-16	NA	1	1	7	110	0	7	2.437392e-01	8.932098e-02
12.01_1k_9_1_1	1000000001	0	5	20	NA	-15	NA	1	1	8	134	0	8	3.858606e-01	-1.770736e-01
12.01_1k_9_1_1	1000000001	0	6	20	NA	-14	NA	1	1	8	124	0	8	1.655392e-03	-1.482461e-01
12.01_1k_9_1_1	1000000001	0	7	20	NA	-13	NA	1	1	8	136	0	8	3.178113e-01	-4.528872e-02
12.01_1k_9_1_1	1000000001	0	8	20	NA	-12	NA	0	NA	0	132	0	NA	1.142945e-01	5.516630e-02
12.01_1k_9_1_1	1000000001	0	9	20	NA	-11	NA	0	NA	0	126	0	NA	4.415108e-02	-8.230628e-02
12.01_1k_9_1_1	1000000001	0	10	20	NA	-10	NA	0	NA	0	65	0	NA	9.089849e-02	-1.510354e-01
12.01_1k_9_1_1	1000000001	0	11	20	NA	-9	NA	0	NA	0	68	0	NA	-7.350604e-02	8.883382e-03
12.01_1k_9_1_1	1000000001	0	12	20	NA	-8	NA	0	NA	0	102	0	NA	-1.017458e-01	4.054878e-02
12.01_1k_9_1_1	1000000001	0	13	20	NA	-7	NA	2	NA	12	0	0	NA	NaN	NaN
12.01_1k_9_1_1	1000000001	0	14	20	NA	-6	NA	2	2	17	118	0	14	4.203914e-02	1.463656e-02
12.01_1k_9_1_1	1000000001	0	15	20	NA	-5	NA	2	2	19	93	0	14	1.582289e-02	1.377556e-01
12.01_1k_9_1_1	1000000001	0	16	20	NA	-4	NA	2	2	50	110	0	41	2.389634e-01	-4.086716e-02
12.01_1k_9_1_1	1000000001	0	17	20	NA	-3	NA	2	2	52	173	0	45	2.802660e-01	-1.467100e-02
12.01_1k_9_1_1	1000000001	0	18	20	NA	-2	NA	2	2	81	138	0	59	1.808309e-01	6.852772e-02
12.01_1k_9_1_1	1000000001	0	19	20	NA	-1	NA	2	2	46	223	0	45	4.262986e-01	-1.309272e-01
12.01_1k_9_1_1	1000000001	0	20	20	NA	0	NA	2	2	37	167	0	35	3.307898e-01	4.822951e-02
12.01_1k_9_1_2	1000000000	1	1	18	16	-17	-15	1	1	10	151	0	10	3.675246e-01	1.344171e-01
12.01_1k_9_1_2	1000000000	1	2	18	16	-16	-14	1	1	11	161	0	7	1.304982e-01	-4.514761e-02
12.01_1k_9_1_2	1000000000	1	3	18	16	-15	-13	1	1	25	139	0	12	3.544348e-01	2.374195e-02
12.01_1k_9_1_2	1000000000	1	4	18	16	-14	-12	1	1	14	163	0	14	3.564756e-01	-7.625970e-02
12.01_1k_9_1_2	1000000000	1	5	18	16	-13	-11	2	2	35	173	0	35	3.839261e-01	-1.481961e-01
12.01_1k_9_1_2	1000000000	1	6	18	16	-12	-10	1	1	23	166	0	23	3.138959e-01	-6.577134e-02
12.01_1k_9_1_2	1000000000	1	7	18	16	-11	-9	1	1	23	256	0	23	3.049266e-01	-5.297471e-02
12.01_1k_9_1_2	1000000000	1	8	18	16	-10	-8	2	2	19	188	0	19	1.803482e-01	3.171171e-02
12.01_1k_9_1_2	1000000000	1	9	18	16	-9	-7	0	NA	0	192	0	NA	-9.498277e-02	5.514983e-02
12.01_1k_9_1_2	1000000000	1	10	18	16	-8	-6	1	1	9	189	0	4	1.168705e-01	5.021736e-02
12.01_1k_9_1_2	1000000000	1	11	18	16	-7	-5	1	1	1	133	0	1	1.992831e-01	3.914969e-02
12.01_1k_9_1_2	1000000000	1	12	18	16	-6	-4	0	NA	0	185	0	NA	-9.625603e-02	-8.184103e-03
12.01_1k_9_1_2	1000000000	1	13	18	16	-5	-3	1	1	12	254	0	7	8.679532e-02	-3.256712e-02
12.01_1k_9_1_2	1000000000	1	14	18	16	-4	-2	2	2	66	216	0	65	2.846088e-01	2.670103e-02
12.01_1k_9_1_2	1000000000	1	15	18	16	-3	-1	2	2	60	224	0	50	3.309416e-01	8.861408e-02
12.01_1k_9_1_2	1000000000	1	16	18	16	-2	0	1	1	108	193	0	102	5.049498e-01	-1.096080e-02
12.01_1k_9_1_2	1000000000	1	17	18	16	-1	1	1	1	137	227	0	126	5.525448e-01	8.982650e-02
12.01_1k_9_1_2	1000000000	1	18	18	16	0	2	1	1	109	247	17	102	4.554427e-01	-1.624990e-02
12.01_1k_9_1_2	1000000000	1	19	18	16	1	3	1	1	81	224	66	72	4.985820e-01	8.310648e-02
12.01_1k_9_1_2	1000000000	1	20	18	16	2	4	1	1	76	205	78	76	4.287503e-01	-8.296346e-02
